Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2024-12-27,34.0,35.0,31.0,35.0,758454
2024-12-30,36.0,43.0,31.0,34.0,1338383
2024-12-31,33.0,38.0,32.0,37.0,819126
2025-01-02,31.0,34.0,31.0,34.0,597574
2025-01-03,31.0,37.0,29.0,31.0,1085323
2025-01-06,31.0,34.0,31.0,33.0,848098
2025-01-07,29.0,30.0,28.0,30.0,582784
2025-01-08,26.0,31.0,26.0,31.0,741458
2025-01-10,28.0,28.0,26.0,26.0,574784
2025-01-13,26.0,29.0,25.0,28.0,546006
2025-01-14,23.0,26.0,23.0,26.0,489248
2025-01-15,23.0,24.0,22.0,23.0,692554
2025-01-16,24.0,26.0,23.0,26.0,603443
2025-01-17,24.0,25.0,22.0,23.0,399103
2025-01-21,24.0,24.0,22.0,24.0,369130
2025-01-22,32.0,33.0,24.0,24.0,2312386
2025-01-23,33.0,37.0,30.0,31.0,1561096
2025-01-24,38.0,42.0,34.0,35.0,1855882
2025-01-27,41.0,45.0,39.0,39.0,973605
2025-01-28,46.0,58.0,37.0,44.0,3819299
2025-01-29,43.0,54.0,38.0,52.0,1481248
2025-01-30,38.0,44.0,36.0,44.0,843965
2025-01-31,43.0,45.0,40.0,41.0,727528
2025-02-03,19.0,26.0,18.0,23.0,3279481
2025-02-04,15.0,18.0,15.0,18.0,1427698
2025-02-05,14.979999542236328,18.0,13.710000038146973,14.210000038146973,2047500
2025-02-06,11.239999771118164,15.119999885559082,10.829999923706055,14.600000381469727,2080500
2025-02-07,12.390000343322754,18.399999618530273,12.020000457763672,13.710000038146973,10612500
2025-02-10,11.9399995803833,12.75,11.699999809265137,12.550000190734863,1521500
2025-02-11,11.9399995803833,12.210000038146973,11.210000038146973,11.739999771118164,756600
2025-02-12,11.5,12.25,11.180000305175781,11.5,586200
2025-02-13,11.430000305175781,12.420000076293945,11.430000305175781,11.5,562000
2025-02-14,11.949999809265137,12.010000228881836,11.239999771118164,11.449999809265137,375500
2025-02-18,10.949999809265137,11.949999809265137,10.850000381469727,11.949999809265137,778300
2025-02-19,10.0,10.899999618530273,9.720000267028809,10.899999618530273,833200
2025-02-20,9.670000076293945,10.800000190734863,9.399999618530273,9.8100004196167,658900
2025-02-21,9.170000076293945,10.399999618530273,9.020000457763672,9.899999618530273,616900
2025-02-24,8.770000457763672,9.420000076293945,8.260000228881836,9.199999809265137,515500
2025-02-25,8.050000190734863,8.710000038146973,7.929999828338623,8.609999656677246,611700
2025-02-26,8.430000305175781,9.140000343322754,7.869999885559082,7.96999979019165,385700
2025-02-27,8.180000305175781,8.600000381469727,8.020000457763672,8.420000076293945,178300
2025-02-28,7.860000133514404,8.100000381469727,7.539999961853027,8.010000228881836,284300
2025-03-03,7.380000114440918,7.980000019073486,7.309999942779541,7.789999961853027,234300
2025-03-04,7.800000190734863,7.909999847412109,6.760000228881836,7.369999885559082,393200
